candidate_id,myneta_url,candidate,constituency_id,constituency,age,party_code,criminal_cases_flag,education_level,movable_assets,movable_assets_rs,movable_assets_img,immovable_assets,immovable_assets_rs,immovable_assets_img,total_assets,total_assets_rs,total_assets_img,liabilities,liabilities_rs,liabilities_img,pan_given,serious_ipc_counts
4022,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4022,Mohan. R,4,VELACHERY,69,IND,No,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
866,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=866,Mohanraj. K,4,VELACHERY,38,BSP,No,Graduate Professional,,,1,0 ~,0,,,,1,"1,51,000 ~ 1 Lacs+",151000,,Y,0
4010,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4010,Poyyamozhi. M,4,VELACHERY,69,Proutist Sarva Samaj,No,12th Pass,,,1,"1,27,00,000 ~ 1 Crore+",12700000,,,,1,0 ~,0,,Y,0
4023,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4023,Radhakrishnan. D.R,4,VELACHERY,43,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,"50,414 ~ 50 Thou+",50414,,Y,0
4024,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4024,Rajasekar. S,4,VELACHERY,37,IND,No,12th Pass,,,1,"16,00,000 ~ 16 Lacs+",1600000,,,,1,0 ~,0,,Y,0
4025,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4025,Ritish,4,VELACHERY,36,IND,No,Others,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
4011,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4011,Rokesh Kumar. V,4,VELACHERY,30,Tamizhaga Vaazhvurimai Katchi,No,Others,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
4017,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4017,Sarabeshwar Sisu. P,4,VELACHERY,25,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
4018,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4018,Suresh K,4,VELACHERY,49,IND,No,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
4026,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4026,Vignesh. M,4,VELACHERY,34,IND,No,Post Graduate,,,1,"23,50,000 ~ 23 Lacs+",2350000,,,,1,0 ~,0,,Y,0
