candidate,party,criminal_cases,education,age,myneta_url
V.Veerakumar,IND,0,5th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2587
Mathiventhan M,DMK,0,Graduate Professional,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1998
Anbalagan S,Amma Makkal Munnettra Kazagam,0,Post Graduate,71,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3137
Arulmozhidevan P,Tamilaga Makkal Thannurimai Katchi,0,Others,64,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3136
Chinnusamy P,Ganasangam Party of India,0,10th Pass,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3140
Jayanthi M,Ambedkarite Party of India,0,Graduate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=608
Madhiyazhagan D,IND,0,10th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3143
Manivannan A,IND,1,12th Pass,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3142
Muniyappan M,IND,0,Graduate,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3144
Poongodi S,IND,0,Illiterate,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3141
Ramkumar R,Indiya Jananayaka Katchi,0,Graduate Professional,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3138
Saroja V. Dr,AIADMK,0,Graduate Professional,72,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=609
Seerangan P,IND,0,Illiterate,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=186
Silambarasi K,Naam Tamilar Katchi,0,12th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3139
Vijaya K,BSP,0,8th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1999
Ponnusamy K,DMK,0,8th Pass,69,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2014
Chandran P,Amma Makkal Munnettra Kazagam,0,8th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3145
Chandran S,AIADMK,0,8th Pass,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=629
Chandrasekaran C,IND,0,10th Pass,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3149
Dinesh C,IND,0,Post Graduate,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3151
Durairaj S,IND,0,12th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3152
Muthusamy C,IND,0,Graduate,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3154
Prasath S,IND,0,Others,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3153
Ramesh R,IND,0,5th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3156
Ranchith C,IND,0,10th Pass,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3155
Rohini T,Naam Tamilar Katchi,0,Graduate Professional,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3147
Sankar P,IND,0,Others,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3148
Selvaraj V,Indiya Jananayaka Katchi,0,5th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3146
Thiyagarajan C,IND,0,Post Graduate,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3150
Sekarbabu. P.K,DMK,25,10th Pass,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=422
Ahamed Fazil. M,Naam Tamilar Katchi,0,Graduate Professional,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1824
Anandraj. T.K,IND,0,Graduate Professional,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1823
Chandran. R,IND,0,Graduate Professional,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2311
Damodharan. A.G,IND,0,Graduate Professional,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2315
Ganesh. S,IND,0,Graduate Professional,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2310
Kamal. J,IND,0,Graduate Professional,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1095
Krishnakumar. G,IND,0,Graduate Professional,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=425
Mahalingam. D,IND,0,8th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1826
Pugalenthi. P,IND,0,Graduate Professional,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2316
Raghunath. K,IND,0,Post Graduate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2317
Ramesh. A,Makkal Needhi Maiam,3,12th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2307
Ramesh. D,IND,0,Post Graduate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1092
Ramki. P,IND,0,Graduate Professional,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1094
Ravikumar. C,BSP,0,8th Pass,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=424
Santhana Krishnan. P,Amma Makkal Munnettra Kazagam,0,10th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1100
Selvam. P,IND,0,8th Pass,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1822
Selvaraj. S,IND,0,Graduate Professional,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2314
Shankar. A,IND,0,Graduate,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1103
Sivaraman. G,IND,0,Graduate Professional,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1825
Srinivasan. P,IND,0,Post Graduate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2319
Suresh. R,IND,0,Graduate Professional,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2312
Udhayakumar. V,IND,0,Graduate Professional,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2309
Vinoj. P. Selvam,BJP,7,Graduate Professional,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1101
Zionraj. M,IND,0,5th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=423
Ramalingam P,DMK,0,Post Graduate,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1906
Adham Farook S,Makkal Needhi Maiam,0,Graduate,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3158
Anbumani,IND,0,12th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3166
Arul Selvan,IND,1,Others,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3165
Baskar B,Naam Tamilar Katchi,0,Doctorate,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=558
Baskar K.P.P.,AIADMK,0,12th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=232
Cho V,IND,0,Graduate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3170
Deepan Chakkravarthi S,IND,0,12th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3171
Jawahar,IND,0,10th Pass,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3174
Kanakaraj K,Ganasangam Party of India,0,Graduate Professional,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=233
Kuppusamy M,IND,0,8th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3167
Madheswaran A.S,My India Party,0,Literate,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3164
Muthusamy S,IND,0,Others,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3172
Ramalingam K,IND,0,10th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3173
Ramasamy P,BSP,0,12th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=234
Ramesh T,Ahimsa Socialist Party,0,Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=42
Saravanan S,Naadaalum Makkal Katchi,0,Post Graduate,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3159
Selvakumar E,Manitha Urimaigal Kalaagam,0,Graduate,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3161
Selvakumar R,IND,0,Others,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3169
Selvi K,DMDK,0,Graduate Professional,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1907
Sivakumar D,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,12th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3160
Suresh Kumar L,IND,0,Graduate Professional,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3168
Tamizhvanan K,Tamilaga Makkal Thannurimai Katchi,0,8th Pass,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3162
Thiyagarajan R,Samaniya Makkal Nala Katchi,0,10th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3163
Sekar S,AIADMK,0,Graduate Professional,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=573
Balasubramanian A,IND,0,10th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3192
Devandran G,IND,0,Others,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3188
Jayakumar K,IND,0,Graduate,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3197
Karthikeyan N,IND,0,10th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3179
Kuzhandaivel K,IND,0,8th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3180
Mani K,Ganasangam Party of India,0,Literate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3178
Moorthiy K S,DMK,1,Graduate,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=575
Moorthy M,IND,0,Illiterate,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3196
Natarajan K,Makkal Needhi Maiam,0,Graduate Professional,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3177
Papathi R,IND,0,Illiterate,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3190
Periasamy R,IND,0,12th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3195
Prabhaharan M,IND,0,Others,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3194
Raman V,BSP,0,5th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1971
Saminathan P P,Amma Makkal Munnettra Kazagam,0,Others,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=574
Samynathan G,IND,0,12th Pass,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3182
Sathiskumar D,IND,0,10th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3181
Sekar N,IND,0,10th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3185
Sekar R,IND,0,10th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3186
Sundaram N,IND,0,5th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3184
Sundaram S,United States of India Party,0,8th Pass,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3176
Thangarasu M,IND,0,12th Pass,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3187
Uvarani K,Naam Tamilar Katchi,0,Post Graduate,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=576
Eswaran E R,DMK,5,Graduate Professional,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=149
Balajichezhian P,IND,0,Graduate Professional,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3219
Balamurugan C,IND,0,Graduate,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3217
Balamurugan S,IND,0,8th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3218
Chandra R,IND,0,Graduate,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3211
Chinnathambi K,RPI(A),0,5th Pass,62,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3200
Eswaran A,IND,0,Literate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3204
Eswaran G,IND,0,5th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3206
Eswaran M,IND,0,8th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3207
Hemalatha R,Amma Makkal Munnettra Kazagam,0,Graduate,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=695
Janagaraj R,Makkal Needhi Maiam,0,5th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3203
Kalaivanan A,My India Party,0,10th Pass,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3198
Karthikeyan S,IND,0,Post Graduate,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3208
Natarajan P,Naam Tamilar Katchi,0,Others,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=694
Ranjit R,IND,0,Graduate Professional,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3220
Saraswathi M,IND,0,5th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3213
Saravanan K,IND,0,Graduate Professional,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3212
Sathieshkumar C,IND,0,12th Pass,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3210
Selvaraj K R,IND,0,10th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3216
Sengottuvellu N,Ahimsa Socialist Party,0,8th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3201
Senthilkumar C,IND,0,Others,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3214
Shanmugasundaram T,IND,0,10th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3209
Sivakumar K,Tamilaga Makkal Thannurimai Katchi,0,10th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3199
Velu K,IND,0,10th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3221
