candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election
Prabu,Makkal Needhi Maiam,0,12th Pass,52,"Rs 3,16,500 ~ 3 Lacs+","Rs 13,00,000 ~ 13 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2535,316500,1300000,0,0
Silambarasan,IND,0,Others,34,,,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2540,,,0,0
Srithar,BSP,0,Doctorate,37,"Rs 18,79,500 ~ 18 Lacs+","Rs 7,75,000 ~ 7 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2026,1879500,775000,0,0
S Rajakumar,INC,1,Post Graduate,52,"Rs 8,27,82,454 ~ 8 Crore+","Rs 26,20,888 ~ 26 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1862,82782454,2620888,1,0
A Palanisamy,Pattali Makkal Katchi,3,Graduate,45,"Rs 58,50,000 ~ 58 Lacs+","Rs 21,00,000 ~ 21 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1864,5850000,2100000,0,0
Anbarasan Komal R K,Amma Makkal Munnettra Kazagam,0,Post Graduate,41,"Rs 3,80,11,420 ~ 3 Crore+","Rs 12,98,085 ~ 12 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2541,38011420,1298085,0,0
Babusankar.R,IND,0,8th Pass,54,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2548,,,0,0
Ganesan.S,IND,0,10th Pass,48,"Rs 19,75,000 ~ 19 Lacs+","Rs 10,40,000 ~ 10 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2544,1975000,1040000,0,0
K Kasiraman,Naam Tamilar Katchi,0,12th Pass,47,"Rs 1,68,92,827 ~ 1 Crore+",Rs 0 ~,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=117,16892827,0,0,0
Loga.Sampath,IND,0,12th Pass,59,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2545,,,0,0
M Rajendran,IND,0,10th Pass,58,"Rs 1,28,000 ~ 1 Lacs+",Rs 0 ~,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=116,128000,0,0,0
Manimaran.T,IND,0,Others,59,"Rs 26,55,000 ~ 26 Lacs+","Rs 90,000 ~ 90 Thou+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2549,2655000,90000,0,0
N Shamsudeen,BSP,0,Others,39,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1863,,,0,0
Niranjan.R,IND,1,Graduate Professional,37,"Rs 7,07,200 ~ 7 Lacs+","Rs 3,00,000 ~ 3 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2547,707200,300000,0,0
Rajkumar,Tamil Nadu Ilangyar Katchi,0,Post Graduate,32,"Rs 20,64,000 ~ 20 Lacs+","Rs 16,05,370 ~ 16 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2543,2064000,1605370,0,0
Ravichandran.N,Makkal Needhi Maiam,0,Graduate,56,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2542,,,0,0
Thimothy.T,IND,0,5th Pass,59,"Rs 25,800 ~ 25 Thou+",Rs 0 ~,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2546,25800,0,0,0
A. Kalaivanan,IND,0,10th Pass,31,"Rs 2,10,107 ~ 2 Lacs+","Rs 1,00,000 ~ 1 Lacs+",POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2561,210107,100000,0,0
M.H.Meharajdeen,Makkal Needhi Maiam,0,8th Pass,54,"Rs 13,00,000 ~ 13 Lacs+",Rs 0 ~,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2560,1300000,0,0,0
P Kaliyammal,Naam Tamilar Katchi,0,Graduate,35,,,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=194,,,0,0
