candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election
T.Ramajayam,IND,0,Others,37,"Rs 55,500 ~ 55 Thou+",Rs 0 ~,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2584,55500,0,0,0
T.Sundaravadivelan,SHS,0,12th Pass,44,"Rs 29,06,600 ~ 29 Lacs+",Rs 0 ~,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2096,2906600,0,0,0
V.Veerakumar,IND,0,5th Pass,32,,,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2587,,,0,0
Mathiventhan M,DMK,0,Graduate Professional,36,"Rs 5,22,43,724 ~ 5 Crore+","Rs 2,21,20,788 ~ 2 Crore+",RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1998,52243724,22120788,1,0
Anbalagan S,Amma Makkal Munnettra Kazagam,0,Post Graduate,71,"Rs 2,60,21,311 ~ 2 Crore+","Rs 34,50,736 ~ 34 Lacs+",RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3137,26021311,3450736,0,0
Arulmozhidevan P,Tamilaga Makkal Thannurimai Katchi,0,Others,64,"Rs 22,67,000 ~ 22 Lacs+","Rs 3,00,000 ~ 3 Lacs+",RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3136,2267000,300000,0,0
Chinnusamy P,Ganasangam Party of India,0,10th Pass,66,,,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3140,,,0,0
Jayanthi M,Ambedkarite Party of India,0,Graduate,49,"Rs 3,51,000 ~ 3 Lacs+",Rs 0 ~,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=608,351000,0,0,0
Madhiyazhagan D,IND,0,10th Pass,46,"Rs 26,000 ~ 26 Thou+",Rs 0 ~,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3143,26000,0,0,0
Manivannan A,IND,1,12th Pass,29,,,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3142,,,0,0
Muniyappan M,IND,0,Graduate,36,"Rs 1,06,000 ~ 1 Lacs+",Rs 0 ~,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3144,106000,0,0,0
Palanivel S,IND,0,Literate,63,,,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=187,,,0,0
Poongodi S,IND,0,Illiterate,43,"Rs 96,000 ~ 96 Thou+",Rs 0 ~,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3141,96000,0,0,0
Ramkumar R,Indiya Jananayaka Katchi,0,Graduate Professional,37,"Rs 3,60,500 ~ 3 Lacs+",Rs 0 ~,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3138,360500,0,0,0
Saroja V. Dr,AIADMK,0,Graduate Professional,72,,,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=609,,,0,0
Seerangan P,IND,0,Illiterate,59,"Rs 6,47,000 ~ 6 Lacs+",Rs 0 ~,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=186,647000,0,0,0
Silambarasi K,Naam Tamilar Katchi,0,12th Pass,34,"Rs 5,54,873 ~ 5 Lacs+","Rs 70,000 ~ 70 Thou+",RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3139,554873,70000,0,0
Vijaya K,BSP,0,8th Pass,51,,,RASIPURAM(SC),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1999,,,0,0
Ponnusamy K,DMK,0,8th Pass,69,"Rs 76,65,424 ~ 76 Lacs+","Rs 46,983 ~ 46 Thou+",SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2014,7665424,46983,1,0
Chandran P,Amma Makkal Munnettra Kazagam,0,8th Pass,59,"Rs 57,29,200 ~ 57 Lacs+","Rs 15,00,000 ~ 15 Lacs+",SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3145,5729200,1500000,0,0
Chandran S,AIADMK,0,8th Pass,55,"Rs 98,05,607 ~ 98 Lacs+","Rs 85,00,000 ~ 85 Lacs+",SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=629,9805607,8500000,0,0
Chandrasekaran C,IND,0,10th Pass,55,,,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3149,,,0,0
Dinesh C,IND,0,Post Graduate,27,"Rs 4,25,000 ~ 4 Lacs+",Rs 0 ~,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3151,425000,0,0,0
Durairaj S,IND,0,12th Pass,38,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3152,100000,0,0,0
Muthusamy C,IND,0,Graduate,59,,,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3154,,,0,0
Prasath S,IND,0,Others,31,"Rs 5,15,000 ~ 5 Lacs+",Rs 0 ~,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3153,515000,0,0,0
Ramasamy K.V,IND,0,Graduate,62,,,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=172,,,0,0
Ramesh R,IND,0,5th Pass,38,"Rs 6,18,000 ~ 6 Lacs+","Rs 1,00,000 ~ 1 Lacs+",SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3156,618000,100000,0,0
Ranchith C,IND,0,10th Pass,29,"Rs 7,87,702 ~ 7 Lacs+",Rs 0 ~,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3155,787702,0,0,0
Rohini T,Naam Tamilar Katchi,0,Graduate Professional,31,,,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3147,,,0,0
Sankar P,IND,0,Others,30,"Rs 42,000 ~ 42 Thou+",Rs 0 ~,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3148,42000,0,0,0
Selvaraj V,Indiya Jananayaka Katchi,0,5th Pass,44,"Rs 7,77,000 ~ 7 Lacs+",Rs 0 ~,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3146,777000,0,0,0
Thiyagarajan C,IND,0,Post Graduate,41,,,SENTHAMANGALAM(ST),NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3150,,,0,0
Sekarbabu. P.K,DMK,25,10th Pass,58,"Rs 2,10,54,762 ~ 2 Crore+","Rs 17,80,000 ~ 17 Lacs+",HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=422,21054762,1780000,1,0
Ahamed Fazil. M,Naam Tamilar Katchi,0,Graduate Professional,31,"Rs 19,86,135 ~ 19 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1824,1986135,0,0,0
Anandraj. T.K,IND,0,Graduate Professional,37,"Rs 3,75,000 ~ 3 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1823,375000,0,0,0
Chandran. R,IND,0,Graduate Professional,30,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2311,,,0,0
Damodharan. A.G,IND,0,Graduate Professional,47,"Rs 3,11,000 ~ 3 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2315,311000,0,0,0
Ganesh. S,IND,0,Graduate Professional,39,"Rs 11,500 ~ 11 Thou+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2310,11500,0,0,0
Kamal. J,IND,0,Graduate Professional,27,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1095,,,0,0
Krishnakumar. G,IND,0,Graduate Professional,35,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=425,200000,0,0,0
Mahalingam. D,IND,0,8th Pass,50,"Rs 11,45,000 ~ 11 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1826,1145000,0,0,0
Nagaraj. S,IND,0,Graduate,35,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1104,,,0,0
Pugalenthi. P,IND,0,Graduate Professional,48,"Rs 6,03,577 ~ 6 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2316,603577,0,0,0
Raghunath. K,IND,0,Post Graduate,49,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2317,175000,0,0,0
Ramesh. A,Makkal Needhi Maiam,3,12th Pass,41,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2307,,,0,0
Ramesh. D,IND,0,Post Graduate,58,"Rs 13,75,896 ~ 13 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1092,1375896,0,0,0
Ramki. P,IND,0,Graduate Professional,32,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1094,175000,0,0,0
Ravikumar. C,BSP,0,8th Pass,35,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=424,,,0,0
Santhana Krishnan. P,Amma Makkal Munnettra Kazagam,0,10th Pass,46,"Rs 1,85,33,389 ~ 1 Crore+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1100,18533389,0,0,0
Selvakumar. R,IND,0,10th Pass,60,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2313,,,0,0
Selvam. P,IND,0,8th Pass,53,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1822,195000,0,0,0
Selvaraj. S,IND,0,Graduate Professional,46,"Rs 8,35,019 ~ 8 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2314,835019,0,0,0
Shankar. A,IND,0,Graduate,31,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1103,,,0,0
Sivaraman. G,IND,0,Graduate Professional,46,"Rs 16,06,441 ~ 16 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1825,1606441,0,0,0
Srinivasan. P,IND,0,Post Graduate,49,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2319,195000,0,0,0
Suresh. R,IND,0,Graduate Professional,39,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2312,,,0,0
Udhayakumar. V,IND,0,Graduate Professional,31,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2309,150000,0,0,0
Vinoj. P. Selvam,BJP,7,Graduate Professional,34,"Rs 13,16,57,207 ~ 13 Crore+","Rs 3,06,56,249 ~ 3 Crore+",HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1101,131657207,30656249,0,0
Vivek Ram. A,IND,0,Graduate Professional,31,,,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2318,,,0,0
Zionraj. M,IND,0,5th Pass,37,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,HARBOUR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=423,195000,0,0,0
Ramalingam P,DMK,0,Post Graduate,55,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1906,,,1,0
Adham Farook S,Makkal Needhi Maiam,0,Graduate,31,"Rs 1,87,72,400 ~ 1 Crore+","Rs 33,50,000 ~ 33 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3158,18772400,3350000,0,0
Anbumani,IND,0,12th Pass,43,"Rs 14,32,000 ~ 14 Lacs+","Rs 6,45,000 ~ 6 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3166,1432000,645000,0,0
Arul Selvan,IND,1,Others,53,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3165,,,0,0
Baskar B,Naam Tamilar Katchi,0,Doctorate,46,"Rs 5,38,82,254 ~ 5 Crore+","Rs 3,96,52,102 ~ 3 Crore+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=558,53882254,39652102,0,0
Baskar K.P.P.,AIADMK,0,12th Pass,51,"Rs 11,26,42,047 ~ 11 Crore+","Rs 6,50,31,968 ~ 6 Crore+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=232,112642047,65031968,0,0
Cho V,IND,0,Graduate,49,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3170,,,0,0
Deepan Chakkravarthi S,IND,0,12th Pass,30,"Rs 21,274 ~ 21 Thou+",Rs 0 ~,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3171,21274,0,0,0
Jawahar,IND,0,10th Pass,27,"Rs 60,18,000 ~ 60 Lacs+","Rs 38,00,000 ~ 38 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3174,6018000,3800000,0,0
Jayaramachandran P,IND,0,12th Pass,38,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3175,,,0,0
Kanakaraj K,Ganasangam Party of India,0,Graduate Professional,49,"Rs 21,71,780 ~ 21 Lacs+",Rs 0 ~,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=233,2171780,0,0,0
Kuppusamy M,IND,0,8th Pass,39,"Rs 86,000 ~ 86 Thou+",Rs 0 ~,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3167,86000,0,0,0
Madheswaran A.S,My India Party,0,Literate,56,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3164,,,0,0
Muthusamy S,IND,0,Others,44,"Rs 5,74,500 ~ 5 Lacs+","Rs 2,97,000 ~ 2 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3172,574500,297000,0,0
Ramalingam K,IND,0,10th Pass,65,"Rs 50,046 ~ 50 Thou+",Rs 0 ~,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3173,50046,0,0,0
Ramasamy P,BSP,0,12th Pass,56,"Rs 5,06,520 ~ 5 Lacs+","Rs 1,88,500 ~ 1 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=234,506520,188500,0,0
Ramesh T,Ahimsa Socialist Party,0,Graduate,40,"Rs 71,25,956 ~ 71 Lacs+",Rs 0 ~,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=42,7125956,0,0,0
Saravanan A,National Peoples Party,0,12th Pass,52,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3157,,,0,0
Saravanan S,Naadaalum Makkal Katchi,0,Post Graduate,31,"Rs 38,000 ~ 38 Thou+",Rs 0 ~,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3159,38000,0,0,0
Selvakumar E,Manitha Urimaigal Kalaagam,0,Graduate,42,"Rs 42,95,000 ~ 42 Lacs+","Rs 38,00,000 ~ 38 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3161,4295000,3800000,0,0
Selvakumar R,IND,0,Others,52,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3169,,,0,0
Selvi K,DMDK,0,Graduate Professional,49,"Rs 1,93,15,000 ~ 1 Crore+","Rs 19,00,000 ~ 19 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1907,19315000,1900000,0,0
Sivakumar D,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,12th Pass,48,"Rs 60,41,000 ~ 60 Lacs+","Rs 56,11,522 ~ 56 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3160,6041000,5611522,0,0
Suresh Kumar L,IND,0,Graduate Professional,51,,,NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3168,,,0,0
Tamizhvanan K,Tamilaga Makkal Thannurimai Katchi,0,8th Pass,63,"Rs 24,46,000 ~ 24 Lacs+","Rs 80,000 ~ 80 Thou+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3162,2446000,80000,0,0
Thiyagarajan R,Samaniya Makkal Nala Katchi,0,10th Pass,32,"Rs 3,01,800 ~ 3 Lacs+","Rs 1,18,007 ~ 1 Lacs+",NAMAKKAL,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3163,301800,118007,0,0
Sekar S,AIADMK,0,Graduate Professional,50,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=573,,,1,0
Balasubramanian A,IND,0,10th Pass,37,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3192,30000,0,0,0
Devandran G,IND,0,Others,34,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3188,25000,0,0,0
Jayakumar K,IND,0,Graduate,48,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3197,,,0,0
Karthikeyan N,IND,0,10th Pass,38,"Rs 8,50,139 ~ 8 Lacs+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3179,850139,0,0,0
Kuzhandaivel K,IND,0,8th Pass,36,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3180,20000,0,0,0
Mani K,Ganasangam Party of India,0,Literate,49,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3178,,,0,0
Moorthiy K S,DMK,1,Graduate,59,"Rs 5,53,28,049 ~ 5 Crore+","Rs 41,49,213 ~ 41 Lacs+",PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=575,55328049,4149213,0,0
Moorthy M,IND,0,Illiterate,56,"Rs 6,12,576 ~ 6 Lacs+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3196,612576,0,0,0
Nallappan K,IND,0,5th Pass,41,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3189,,,0,0
Natarajan K,Makkal Needhi Maiam,0,Graduate Professional,65,"Rs 3,03,11,430 ~ 3 Crore+","Rs 15,00,000 ~ 15 Lacs+",PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3177,30311430,1500000,0,0
Papathi R,IND,0,Illiterate,60,"Rs 1,85,000 ~ 1 Lacs+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3190,185000,0,0,0
Periasamy R,IND,0,12th Pass,51,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3195,,,0,0
Prabhaharan M,IND,0,Others,31,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3194,72000,0,0,0
Raman V,BSP,0,5th Pass,48,"Rs 11,000 ~ 11 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1971,11000,0,0,0
Saminathan P P,Amma Makkal Munnettra Kazagam,0,Others,55,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=574,,,0,0
Samynathan G,IND,0,12th Pass,26,"Rs 3,65,371 ~ 3 Lacs+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3182,365371,0,0,0
Sathiskumar D,IND,0,10th Pass,34,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3181,25000,0,0,0
Seerangan P,IND,0,10th Pass,42,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3183,,,0,0
Sekar N,IND,0,10th Pass,49,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3185,25000,0,0,0
Sekar R,IND,0,10th Pass,50,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3186,25000,0,0,0
Sundaram N,IND,0,5th Pass,50,"Rs 3,75,000 ~ 3 Lacs+","Rs 50,000 ~ 50 Thou+",PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3184,375000,50000,0,0
Sundaram S,United States of India Party,0,8th Pass,63,"Rs 1,634 ~ 1 Thou+",Rs 0 ~,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3176,1634,0,0,0
Thangarasu M,IND,0,12th Pass,29,,,PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3187,,,0,0
Uvarani K,Naam Tamilar Katchi,0,Post Graduate,34,"Rs 36,40,000 ~ 36 Lacs+","Rs 35,000 ~ 35 Thou+",PARAMATHIVELUR,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=576,3640000,35000,0,0
Eswaran E R,DMK,5,Graduate Professional,60,"Rs 40,94,77,265 ~ 40 Crore+","Rs 17,08,34,980 ~ 17 Crore+",TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=149,409477265,170834980,1,0
Balajichezhian P,IND,0,Graduate Professional,36,"Rs 79,000 ~ 79 Thou+",Rs 0 ~,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3219,79000,0,0,0
Balamurugan C,IND,0,Graduate,31,"Rs 65,30,000 ~ 65 Lacs+","Rs 27,43,700 ~ 27 Lacs+",TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3217,6530000,2743700,0,0
Balamurugan S,IND,0,8th Pass,40,,,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3218,,,0,0
Chandra R,IND,0,Graduate,44,"Rs 41,92,000 ~ 41 Lacs+","Rs 11,20,000 ~ 11 Lacs+",TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3211,4192000,1120000,0,0
Chinnathambi K,RPI(A),0,5th Pass,62,"Rs 6,000 ~ 6 Thou+",Rs 0 ~,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3200,6000,0,0,0
Eswaran A,IND,0,Literate,58,,,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3204,,,0,0
Eswaran G,IND,0,5th Pass,51,"Rs 10,70,000 ~ 10 Lacs+",Rs 0 ~,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3206,1070000,0,0,0
Eswaran K,IND,0,10th Pass,43,,,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3205,,,0,0
Eswaran M,IND,0,8th Pass,49,"Rs 4,80,000 ~ 4 Lacs+",Rs 0 ~,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3207,480000,0,0,0
Hemalatha R,Amma Makkal Munnettra Kazagam,0,Graduate,65,"Rs 45,50,000 ~ 45 Lacs+","Rs 5,00,000 ~ 5 Lacs+",TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=695,4550000,500000,0,0
Janagaraj R,Makkal Needhi Maiam,0,5th Pass,46,,,TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3203,,,0,0
Kalaivanan A,My India Party,0,10th Pass,66,"Rs 7,60,000 ~ 7 Lacs+","Rs 2,00,000 ~ 2 Lacs+",TIRUCHENGODU,NAMAKKAL,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3198,760000,200000,0,0
